Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Cranbury township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",22,0,22,23
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Drove alone",50,0,50,46
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Carpooled",1,0,1,2
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",149,0,149,91
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,"Car, truck, or van: Carpooled",9,0,9,15
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,Public transportation,21,0,21,25
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,North Brunswick township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",30,0,30,36
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,North Brunswick township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Carpooled",13,0,13,23
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",223,0,223,93
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,Other travel mode,6,0,6,11
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Drove alone",142,0,142,76
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Carpooled",14,0,14,22
2009-2013,Mercer County,Ewing township,New Jersey,Somerset County,Franklin township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",120,0,120,68
2009-2013,Mercer County,Ewing township,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",231,0,231,113
2011-2015,Mercer County,Ewing township,New Jersey,Atlantic County,Atlantic City city,out of area,NJ-Shore,out-of-town,Data-not-available,27,0,27,43
2011-2015,Mercer County,Ewing township,New Jersey,Bergen County,East Rutherford borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,12,0,12,19
2011-2015,Mercer County,Ewing township,New Jersey,Bergen County,Hackensack city,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,22
2011-2015,Mercer County,Ewing township,New Jersey,Burlington County,Bordentown city,out of area,NJ-Southwest,out-of-town,Data-not-available,45,0,45,38
2011-2015,Mercer County,Ewing township,New Jersey,Burlington County,Bordentown township,out of area,NJ-Southwest,out-of-town,Data-not-available,17,0,17,23
2011-2015,Mercer County,Ewing township,New Jersey,Burlington County,Burlington city,out of area,NJ-Southwest,out-of-town,Data-not-available,7,0,7,10
2011-2015,Mercer County,Ewing township,New Jersey,Burlington County,Delran township,out of area,NJ-Southwest,out-of-town,Data-not-available,14,0,14,18
2011-2015,Mercer County,Ewing township,New Jersey,Burlington County,Florence township,out of area,NJ-Southwest,out-of-town,Data-not-available,4,0,4,9
2011-2015,Mercer County,Ewing township,New Jersey,Burlington County,Hainesport township,out of area,NJ-Southwest,out-of-town,Data-not-available,7,0,7,10
